MàJ;ɛm.a.ʒi
Marleyne;maʁ.len
Marmande;maʁ.mɑ̃d
Marmelente;ɛɡ.ze.ky.tiv
Marmorkuchen;miʁ.li.tɔ.nə.ʁa
Marmouillé;maʁ.mu.je
Maroc;ma.ʁɔk
Marocain;ma.ʁɔ.kɛ̃
Marocaine;ma.ʁɔ.kɛn
Marocaines;ma.ʁɔ.kɛn
Marocains;ma.ʁɔ.kɛ̃
Maroilles;maʁ.wal
Marollais;ma.ʁɔ.lɛ
Marolles;ma.ʁɔl
Maron;ma.ʁɔ̃
Marotiani;ma.ʃə.lje
Marquisien;maʁ.ki.zjɛ̃
Marrakech;ma.ʁa.kɛʃ
Mars;maʁs
Marsa;maʁ.sa
Marseillais;maʁ.sɛ.jɛ
Marseillaise;maʁ.sɛ.jɛz
Marseillaises;maʁ.sɛ.jɛz
Marseille;maʁ.sɛj
Marshall;maʁ.ʃal
Marshallais;maʁ.ʃa.lɛ
Marshallaise;maʁ.ʃa.lɛz
Marshallaises;maʁ.ʃa.lɛz
Marsien;maʁ.sjɛ̃
Marsienne;maʁ.sjɛn
Marsiennes;maʁ.sjɛn
Marsiens;maʁ.sjɛ̃
Marsilly;maʁ.si.ji
Marso;ma.jo
Marsois;maʁ.swa
Marsouin;maʁ.swɛ̃
Marstonnais;maʁ.stɔ.nɛ
Marsupilami;maʁ.sy.pi.la.mi
Marsupilamie;maʁ.sy.pi.la.mi
Marsupilamies;maʁ.sy.pi.la.mi
Marsupilamis;maʁ.sy.pi.la.mi
Martainville;maʁ.tɛ̃.vil
Marthéen;maʁ.te.ɛ̃
Marthe;maʁt
Martial;maʁ.sjal
Martien;maʁ.sjɛ̃
Martienne;maʁ.sjɛn
Martiennes;maʁ.sjɛn
Martigny;maʁ.ti.ɲi
Martinésien;maʁ.ti.ne.zjɛ̃
Martin;maʁ.tɛ̃
Martinache;maʁtinaʃ
Martine;maʁ.tin
Martinet;maʁ.ti.nɛ
Martinez;maʁ.ti.nɛz
Martini;maʁ.ti.ni
Martinica;maʁ.ti.nik
Martinien;maʁ.ti.njɛ̃
Martinik;maʁ.ti.nik
Martinika;maʁ.ti.nik
Martiniko;maʁ.ti.nik
Martiniquais;maʁ.ti.ni.kɛ
Martiniquaise;maʁ.ti.ni.kɛz
Martiniquaises;maʁ.ti.ni.kɛz
Martinique;maʁ.ti.nik
Martinois;maʁ.ti.nwa
Martinol;maʁ.ti.nɔl
Martinolle;maʁ.ti.nɔl
Martinolles;maʁ.ti.nɔl
Martinols;maʁ.ti.nɔl
Martins;maʁ.tɛ̃
Martinvillois;maʁ.tɛ̃.vi.lwa
Martragny;ma.tʁa.ɲi
Martrien;maʁ.tʁi.jɛ̃
Marty;maʁ.ti
Martynika;maʁ.ti.nik
Martyrois;maʁ.ti.ʁwa
Marx;maʁks
Marye;ma.ʁi
Maryland;ma.ʁi.lɑ̃d
Marylandais;ma.ʁi.lɑ̃.dɛ
Maryne;ma.ʁin
Marys;mak.ʁo.faʒ
Maryvette;mik
Maryvonne;ma.ʁi.von
Marzipan;mi.ze.ʁje
Masérou;ma.se.ʁu
Mascaraignes;mas.ka.ʁɛɲ
Mascareignes;mas.ka.ʁɛɲ
Mascatais;mas.ka.tɛ
Mascataise;mas.ka.tɛz
Mascataises;mas.ka.tɛz
Mascate;mas.kat
Mascoutain;mas.ku.tɛ̃
Mascoutin;mas.ku.tɛ̃
Masern;ɛlb
Maseru;ma.se.ʁu
Mashamois;ma.ʃa.mwa
Maskava;mɔs.ku
Maskinongé;mas.ki.nɔ̃.ʒe
